PSA_Id,Domain,English,Kiswahili,Dholuo,English_tokens,Kiswahili_tokens,Dholuo_tokens,English_token_count,Kiswahili_token_count,Dholuo_token_count,Kiswahili_borrowed_terms,Dholuo_borrowed_terms,Kiswahili_has_codeswitch,Dholuo_has_codeswitch,English_word_count,Kiswahili_word_count,Dholuo_word_count,ratio_kis_eng,ratio_dho_eng,ratio_dho_kis,Dholuo_has_repeat_loop
999,Health,"Babies born before 37 weeks require warmth, feeding support, and regular health checkups for proper development.","Watoto waliozaliwa kabla ya wiki 37 wanahitaji kupashwa joto, usaidizi wa kulisha, na uchunguzi wa afya mara kwa mara kwa ajili ya ukuaji sahihi.","Nyithindo mayudo nyuol kapok jumbe 37 orumo, dwarore ni oritgi maber, opidhgi, kendo onon-gi kinde ka kinde.","['Babies', 'born', 'before', '37', 'weeks', 'require', 'warmth', ',', 'feeding', 'support', ',', 'and', 'regular', 'health', 'checkups', 'for', 'proper', 'development', '.']","['Watoto', 'waliozaliwa', 'kabla', 'ya', 'wiki', '37', 'wanahitaji', 'kupashwa', 'joto', ',', 'usaidizi', 'wa', 'kulisha', ',', 'na', 'uchunguzi', 'wa', 'afya', 'mara', 'kwa', 'mara', 'kwa', 'ajili', 'ya', 'ukuaji', 'sahihi', '.']","['Nyithindo', 'mayudo', 'nyuol', 'kapok', 'jumbe', '37', 'orumo', ',', 'dwarore', 'ni', 'oritgi', 'maber', ',', 'opidhgi', ',', 'kendo', 'onon', '-', 'gi', 'kinde', 'ka', 'kinde', '.']",19,27,23,[],[],False,False,16,24,17,1.5,1.0625,0.7083333333333334,False
4264,Health,Practice boiling drinking water to prevent the spread of disease in your household.,Fanya kuchemsha maji ya kunywa ili kuzuia kuenea kwa magonjwa nyumbani kwako.,Praktis loso pi ma inyalo madho mondo kik tuoche olandre e ot mari.,"['Practice', 'boiling', 'drinking', 'water', 'to', 'prevent', 'the', 'spread', 'of', 'disease', 'in', 'your', 'household', '.']","['Fanya', 'kuchemsha', 'maji', 'ya', 'kunywa', 'ili', 'kuzuia', 'kuenea', 'kwa', 'magonjwa', 'nyumbani', 'kwako', '.']","['Praktis', 'loso', 'pi', 'ma', 'inyalo', 'madho', 'mondo', 'kik', 'tuoche', 'olandre', 'e', 'ot', 'mari', '.']",14,13,14,[],[],False,False,13,12,13,0.9230769230769231,1.0,1.0833333333333333,False
2229,Security & Safety,High threat of kidnapping targeting foreigners in northern and coastal areas and travelers are urged to avoid high risk zones.,Tishio kubwa la utekaji nyara unaolenga wageni katika maeneo ya kaskazini na pwani na wasafiri wanahimizwa kuepuka maeneo yenye hatari kubwa.,Ojiwo joma owuok e pinje mamoko mondo kik omigi thuolo mar dhi e pinje mamoko.,"['High', 'threat', 'of', 'kidnapping', 'targeting', 'foreigners', 'in', 'northern', 'and', 'coastal', 'areas', 'and', 'travelers', 'are', 'urged', 'to', 'avoid', 'high', 'risk', 'zones', '.']","['Tishio', 'kubwa', 'la', 'utekaji', 'nyara', 'unaolenga', 'wageni', 'katika', 'maeneo', 'ya', 'kaskazini', 'na', 'pwani', 'na', 'wasafiri', 'wanahimizwa', 'kuepuka', 'maeneo', 'yenye', 'hatari', 'kubwa', '.']","['Ojiwo', 'joma', 'owuok', 'e', 'pinje', 'mamoko', 'mondo', 'kik', 'omigi', 'thuolo', 'mar', 'dhi', 'e', 'pinje', 'mamoko', '.']",21,22,16,[],[],False,False,20,21,15,1.05,0.75,0.7142857142857143,False
3027,Governance,"4000 -Parliamentary and County Assembly By-Elections of Member of the National Assembly, Kiambaa Constituency and Member of County Assembly, Muguga Ward, Kiambu County, Respectively, Scheduled to be held on 15th July, 2021","4000 -Uchaguzi Mdogo wa Wabunge na Wabunge wa Kaunti wa Mbunge wa Kitaifa, Eneo-bunge la Kiambaa na Mbunge wa Kaunti, Wadi ya Muguga, Kaunti ya Kiambu, Mtawalia, Ulioratibiwa kufanywa tarehe 15 Julai, 2021.","4000 -Yiero matin mar Jatend Bung' mar Pinyruoth kod Jatend Bung' mar Kaunti, Distrikt mar Kiambaa kod Jatend Bung' mar Kaunti, Ward mar Muguga, Distrikt mar Kiambu, Kaka giluwore, Oketo ni otimre tarik 15 dwe mar Julaini higa mar 2021","['4000', '-Parliamentary', 'and', 'County', 'Assembly', 'By-Elections', 'of', 'Member', 'of', 'the', 'National', 'Assembly', ',', 'Kiambaa', 'Constituency', 'and', 'Member', 'of', 'County', 'Assembly', ',', 'Muguga', 'Ward', ',', 'Kiambu', 'County', ',', 'Respectively', ',', 'Scheduled', 'to', 'be', 'held', 'on', '15th', 'July', ',', '2021']","['4000', '-Uchaguzi', 'Mdogo', 'wa', 'Wabunge', 'na', 'Wabunge', 'wa', 'Kaunti', 'wa', 'Mbunge', 'wa', 'Kitaifa', ',', 'Eneo-bunge', 'la', 'Kiambaa', 'na', 'Mbunge', 'wa', 'Kaunti', ',', 'Wadi', 'ya', 'Muguga', ',', 'Kaunti', 'ya', 'Kiambu', ',', 'Mtawalia', ',', 'Ulioratibiwa', 'kufanywa', 'tarehe', '15', 'Julai', ',', '2021', '.']","['4000', '-', 'Yiero', 'matin', 'mar', 'Jatend', 'Bung', ""'"", 'mar', 'Pinyruoth', 'kod', 'Jatend', 'Bung', ""'"", 'mar', 'Kaunti', ',', 'Distrikt', 'mar', 'Kiambaa', 'kod', 'Jatend', 'Bung', ""'"", 'mar', 'Kaunti', ',', 'Ward', 'mar', 'Muguga', ',', 'Distrikt', 'mar', 'Kiambu', ',', 'Kaka', 'giluwore', ',', 'Oketo', 'ni', 'otimre', 'tarik', '15', 'dwe', 'mar', 'Julaini', 'higa', 'mar', '2021']",38,40,49,"['Kiambaa', 'Kiambu', 'Muguga']","['Ward', 'Kiambaa', 'Kiambu', 'Muguga']",True,True,32,33,40,1.03125,1.25,1.2121212121212122,False
4617,Security & Safety,Communities facing drought should follow public transport safety rules issued by county disaster teams.,Jamii zinazokabiliwa na ukame zinapaswa kufuata kanuni za usalama wa usafiri wa umma zilizotolewa na timu za maafa za kaunti.,Oganda maromo gi oro onego oluw chike mag arita mag wuoth ma ji duto ogolo gi riwruoge mag masira mag kaunti.,"['Communities', 'facing', 'drought', 'should', 'follow', 'public', 'transport', 'safety', 'rules', 'issued', 'by', 'county', 'disaster', 'teams', '.']","['Jamii', 'zinazokabiliwa', 'na', 'ukame', 'zinapaswa', 'kufuata', 'kanuni', 'za', 'usalama', 'wa', 'usafiri', 'wa', 'umma', 'zilizotolewa', 'na', 'timu', 'za', 'maafa', 'za', 'kaunti', '.']","['Oganda', 'maromo', 'gi', 'oro', 'onego', 'oluw', 'chike', 'mag', 'arita', 'mag', 'wuoth', 'ma', 'ji', 'duto', 'ogolo', 'gi', 'riwruoge', 'mag', 'masira', 'mag', 'kaunti', '.']",15,21,22,[],[],False,False,14,20,21,1.4285714285714286,1.5,1.05,False
1845,Security & Safety,"Those job ads for 'NGO agents hiring enumerators' without an interview are a scam. Verify with the actual NGO before sending money.""",Matangazo hayo ya kazi kwa 'mawakala wa mashirika yasiyo ya kiserikali wanaoajiri wahesabuji' bila mahojiano ni ulaghai. Thibitisha na mashirika yasiyo ya kiserikali kabla ya kutuma pesa.,Lendo mag tich michiwo gi NGOs maonge intaviw gin mag miriambo,"['Those', 'job', 'ads', 'for', ""'NGO"", 'agents', 'hiring', 'enumerators', ""'"", 'without', 'an', 'interview', 'are', 'a', 'scam', '.', 'Verify', 'with', 'the', 'actual', 'NGO', 'before', 'sending', 'money', '.', ""''""]","['Matangazo', 'hayo', 'ya', 'kazi', 'kwa', ""'mawakala"", 'wa', 'mashirika', 'yasiyo', 'ya', 'kiserikali', 'wanaoajiri', 'wahesabuji', ""'"", 'bila', 'mahojiano', 'ni', 'ulaghai', '.', 'Thibitisha', 'na', 'mashirika', 'yasiyo', 'ya', 'kiserikali', 'kabla', 'ya', 'kutuma', 'pesa', '.']","['Lendo', 'mag', 'tich', 'michiwo', 'gi', 'NGOs', 'maonge', 'intaviw', 'gin', 'mag', 'miriambo']",26,30,11,[],[],False,False,22,27,11,1.2272727272727273,0.5,0.4074074074074074,False
812,Health,Introduction of postpartum exercise and nutrition support groups led by physiotherapists and dietitians.,Utangulizi wa mazoezi ya baada ya kujifungua na vikundi vya usaidizi wa lishe vinavyoongozwa na wataalamu wa tiba ya viungo na wataalamu wa lishe.,"Tiyo gi grube mag tiegruok e weche mag rieyo del kod mag chiemo e kinde ma dhako osechako nyuol, ma ichiko gi lakteche mag thieth kod lakteche ma nono weche mag chiemo.","['Introduction', 'of', 'postpartum', 'exercise', 'and', 'nutrition', 'support', 'groups', 'led', 'by', 'physiotherapists', 'and', 'dietitians', '.']","['Utangulizi', 'wa', 'mazoezi', 'ya', 'baada', 'ya', 'kujifungua', 'na', 'vikundi', 'vya', 'usaidizi', 'wa', 'lishe', 'vinavyoongozwa', 'na', 'wataalamu', 'wa', 'tiba', 'ya', 'viungo', 'na', 'wataalamu', 'wa', 'lishe', '.']","['Tiyo', 'gi', 'grube', 'mag', 'tiegruok', 'e', 'weche', 'mag', 'rieyo', 'del', 'kod', 'mag', 'chiemo', 'e', 'kinde', 'ma', 'dhako', 'osechako', 'nyuol', ',', 'ma', 'ichiko', 'gi', 'lakteche', 'mag', 'thieth', 'kod', 'lakteche', 'ma', 'nono', 'weche', 'mag', 'chiemo', '.']",14,25,34,[],[],False,False,13,24,32,1.8461538461538463,2.4615384615384617,1.3333333333333333,False
1003,Health,"This Father's Day, let's shine a light on men's mental health. To all the dads out there, your well-being matters. Take time to prioritize your mental health and reach out for support when needed.","Siku hii ya Baba, hebu tuangazie afya ya akili ya wanaume. Kwa akina baba wote, ustawi wako ni muhimu. Chukua muda wa kuweka kipaumbele afya yako ya akili na uwasiliane na usaidizi unapohitajika.","E odiechieng'ni mar Wuone, weuru mondo wapuonjre kuom tuoche mag paro ma chwo nigo. Ne wuone duto, ngimau en gimaduong '. Kaw kinde mondo iket pachi kuom tuoche mag paro, kendo many kony sama mano dwarore.","['This', 'Father', ""'s"", 'Day', ',', 'let', ""'s"", 'shine', 'a', 'light', 'on', 'men', ""'s"", 'mental', 'health', '.', 'To', 'all', 'the', 'dads', 'out', 'there', ',', 'your', 'well-being', 'matters', '.', 'Take', 'time', 'to', 'prioritize', 'your', 'mental', 'health', 'and', 'reach', 'out', 'for', 'support', 'when', 'needed', '.']","['Siku', 'hii', 'ya', 'Baba', ',', 'hebu', 'tuangazie', 'afya', 'ya', 'akili', 'ya', 'wanaume', '.', 'Kwa', 'akina', 'baba', 'wote', ',', 'ustawi', 'wako', 'ni', 'muhimu', '.', 'Chukua', 'muda', 'wa', 'kuweka', 'kipaumbele', 'afya', 'yako', 'ya', 'akili', 'na', 'uwasiliane', 'na', 'usaidizi', 'unapohitajika', '.']","['E', 'odiechieng', ""'"", 'ni', 'mar', 'Wuone', ',', 'weuru', 'mondo', 'wapuonjre', 'kuom', 'tuoche', 'mag', 'paro', 'ma', 'chwo', 'nigo', '.', 'Ne', 'wuone', 'duto', ',', 'ngimau', 'en', 'gimaduong', ""'"", '.', 'Kaw', 'kinde', 'mondo', 'iket', 'pachi', 'kuom', 'tuoche', 'mag', 'paro', ',', 'kendo', 'many', 'kony', 'sama', 'mano', 'dwarore', '.']",42,38,44,[],[],False,False,34,33,36,0.9705882352941176,1.0588235294117647,1.0909090909090908,False
1677,Security & Safety,Safe houses and shelters offer secure temporary accommodation for survivors and their children.,Nyumba na makazi salama hutoa malazi salama ya muda kwa manusura na watoto wao.,Ute jot miyo jomotony kuom mahundu matimore e kind dichuo gi chiege kar dak,"['Safe', 'houses', 'and', 'shelters', 'offer', 'secure', 'temporary', 'accommodation', 'for', 'survivors', 'and', 'their', 'children', '.']","['Nyumba', 'na', 'makazi', 'salama', 'hutoa', 'malazi', 'salama', 'ya', 'muda', 'kwa', 'manusura', 'na', 'watoto', 'wao', '.']","['Ute', 'jot', 'miyo', 'jomotony', 'kuom', 'mahundu', 'matimore', 'e', 'kind', 'dichuo', 'gi', 'chiege', 'kar', 'dak']",14,15,14,[],[],False,False,13,14,14,1.0769230769230769,1.0769230769230769,1.0,False
898,Health,Mandatory wearing of masks in public and open spaces is now lifted,Uvaaji wa lazima wa barakoa katika maeneo ya umma na wazi sasa umeondolewa,Tiyo gi abuog rombee e lela kod kuonde ma ji ng'enyie koro ogol oko,"['Mandatory', 'wearing', 'of', 'masks', 'in', 'public', 'and', 'open', 'spaces', 'is', 'now', 'lifted']","['Uvaaji', 'wa', 'lazima', 'wa', 'barakoa', 'katika', 'maeneo', 'ya', 'umma', 'na', 'wazi', 'sasa', 'umeondolewa']","['Tiyo', 'gi', 'abuog', 'rombee', 'e', 'lela', 'kod', 'kuonde', 'ma', 'ji', 'ng', ""'"", 'enyie', 'koro', 'ogol', 'oko']",12,13,16,[],[],False,False,12,13,14,1.0833333333333333,1.1666666666666667,1.0769230769230769,False
