PSA_Id,Domain,English,Kiswahili,Ekegusii,Dholuo,Somali
1,Education,Comprehensive COVID-19 health and safety protocols for school reopening including mandatory masks and temperature monitoring,Itifaki kamili za afya na usalama za COVID-19 kwa ajili ya kufungua shule ikiwa ni pamoja na barakoa za lazima na ufuatiliaji wa halijoto,Ase oboikeranu amachiko obochenu igoro yendwari Yenyamayaa (COVID-19) ase chisukuru koigora amo nogochika kobeka ebitambaa biogotuma emenwa nechiomioro na gopima ribera ase omobere,Chenro mag thieth: Chenro mag thieth kod ritruok kuom COVID-19 ma oriwo tiyo gi maske kod ng'iyo chal mar liet e kinde ma skul chako tiyo kendo,Barnaamijyada caafimaadka iyo amniga ee COVID-19 ee dhamaystiran ee dib u furitaanka dugsiyada oo ay ku jiraan maaskaro qasab ah iyo kormeerka heerkulka
2,Education,Digital learning platform providing free educational content during COVID-19 pandemic for remote learning continuity,Jukwaa la kujifunza kidijitali linalotoa maudhui ya kielimu bila malipo wakati wa janga la COVID-19 kwa ajili ya mwendelezo wa kujifunza kwa mbali,[Omoreberio bwamasomo bwechisemi o'Kenya goetera enchera yegedichitari nigo biakorwa amaosomo bosa chingaki chiendwari ya COVID-19 erio goikerania amosomo kogenderera,Kenya Education Cloud: Ohinga mar somo mar dijitol ma chiwo weche mag somo maonge chudo e kinde mag tuo mar COVID-19 mondo ji opuonjre mabor,Barashada dhijitaalka ah ee bixisa waxyaabaha waxbarasho ee bilaashka ah inta lagu jiro masiibada COVID-19 si loo sii wado barashada fog
3,Education,KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,Lango la KUCCPS litafunguliwa Machi 2025 kwa nafasi za chuo kikuu na uteuzi wa kozi kwa watahiniwa wa KCSE wa 2024,[Eintaneti yekeombe keria ekenen gekorangeria abana gochia eyunifasisiti nechikorechi (KUCCP) neigoro omotienyi ogatato omwaka 2025 noigore ase abana beyunifasity na gochora chikosi chiabo ase abana baria barigete amatemwa abo esekondari 2024,KUCCPS Portal: KUCCPS portal biro yawore e dwe mar Mach higa mar 2025 mar keto ji e yunivasiti kod yiero jopuonjre mag KCSE e higa mar 2024,Gudaha KUCCPS waxaa la furi doonaa bishii Maarso ee sannadka 2025 si loo helo booska jaamacadaha iyo xulashada koorsooyinka loogu talagalay musharixiinta 2024 ee KCSE
4,Education,Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,Lengo ni kuongeza wanufaika wa chakula shuleni kutoka milioni 1.9 hadi zaidi ya watoto milioni 10 ifikapo mwaka 2030,Norengete kogesa abana bakoyeria nechisukuru korwa chimirioni 1.9 goika chimirioni 10 nyuma ya omwaka 2030,Medo kwan mar pidho nyithindo e skunde: Dwaro mar medruok mar joma yudo kony mar chiemo e skunde kowuok e nyithindo milion 1.9 nyaka nyithindo mokalo milion 10 e higa mar 2030,Ujeedada ah in la kordhiyo dadka ka faa'iideysta quudinta dugsiga laga bilaabo 1.9 milyan ilaa in ka badan 10 milyan oo caruur ah marka la gaaro sanadka 2030
5,Education,Launch of inclusive education programs with assistive technology for learners with disabilities,Uzinduzi wa programu za elimu jumuishi zenye teknolojia saidizi kwa wanafunzi wenye ulemavu,"Omoroberio bwogochaka chisemi ase bonsi goetera ebinto biria bogokonya emeuko, amatino na amamama ochakirwe ase abaremaru abwo bonsi",Somo mar Dwaro Manyien: Chako chenro mag somo ma oriwo ji duto gi teknoloji makonyo jopuonjre ma nigi ng'ol,Bilaabista barnaamijyo waxbarasho oo dhanka ah oo leh tiknoolajiyad caawiya ardayda naafada ah
6,Education,"Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","Tangazo la nafasi 46,000 za kufundisha katika shule za msingi, sekondari za chini, na sekondari huku tarehe ya mwisho ya kutuma maombi ikiwa Oktoba 7, 2024","Amabaga 46,000 yabarimu beukuru yoboroso atangasirwe, chisukuru chiesekenderi ya inse, amo nechisekenderi atangasirwe nomoerio bwogotoma gosaba emeremo eyio nechitariki 7 omotienyi oikomi, omwaka 2024","TSC Recruitment: Lando mar tije mag puonjo maromo ji 46,000 e skunde mag praimari, junia sekondari, kod sekondari ka tarik mogik mar kwayo en Oktoba 7, 2024","Xayeysiis loogu talagalay 46,000 oo jago oo macalimiin ah oo ku yaal dugsiyada hoose, hoose, iyo sare oo leh waqtiga ugu dambeeya ee codsiga Oktoobar 7, 2024"
7,Education,"1,500 new special needs units built – transfer your child before Jan 6!","Vitengo vipya 1,500 vya mahitaji maalum vilivyojengwa. Hamishia mtoto wako kabla ya Januari 6!","Ebirasi 1,500 biogosomera biabana baria bare noboremaru biaagachirwe, rusia na koira omwana oo nyuma ya chitariki 6 omotienyi omotangani!","Ne oger udi 1,500 manyien mag joma nigi dwaro makende. lok nyathini kapok Januar 6 ochopo!","1,500 oo qaybood oo cusub oo loogu talagalay baahiyaha gaarka ah ayaa la dhisay si aad ilmahaaga ugu wareejiso 6-da Janaayo ka hor!"
8,Education,100% transition policy: Every child must be in school January 6 – no excuses!,Sera ya mpito 100%: Kila mtoto lazima awe shuleni Januari 6 hakuna visingizio!,Richiko riogotamboka gochia ayio emia ase emia: Kera omwana goika abe osoire esukuru nyuma yechitariki 6 omotienyi omotang'ani. Gotamera kende tikoiyo!,Chenro mar lokruok mar 100%: Nyithindo duto nyaka bed e skul Januar 6 onge weche ma digiloko!,Siyaasadda gudbinta 100%: caruur kastaa waa inay iskuulka tagaan 6-da Janaayo.
9,Education,100% transition policy: No child to repeat Class 8 from 2025.,Sera ya mpito 100%: Hakuna mtoto kurudia Darasa la 8 kuanzia 2025.,Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.,Chenro mar lokruok mar 100%: Onge nyathi mabiro nwoyo somo mar klas 8 chakre higa mar 2025.,Siyaasadda gudbinta 100%: Ilmaha aan dib u dhicin fasalka 8 laga bilaabo 2025.
10,Education,100% transition: Every Grade 6 must report to JSS – no staying home!,"Mpito 100%: Kila Darasa la 6 lazima aripoti kwa JSS ""hakuna kukaa nyumbani!""",Okonganya emia ase amia: Kera omwana bwegeredi gia 6 goika soe esukuru yesekenderi ya inse (JSS) kobera nka tikoiyo!,Lokruok mar 100%: Ng'ato ka ng'ato manie klas mar auchiel nyaka dhi e ofis mar JSS.,100% gudbinta: fasalka 6aad oo dhan waa inuu u sheegaa JSS in uusan guriga joogin!
11,Education,"15,000 full secondary scholarships for arid counties – apply before Nov 30 via county office!","Ufadhili kamili wa masomo 15,000 wa sekondari kwa kaunti kame ...","Chibesa chiria chiogokonya abana ase abana 15,000 ase amasomo esekenderi ase abana baria bare ase chingongo chinyomo, toma ogosa nyuma yomotienyi 11 goetra ofisi chiekaonti yao!","15,000 mar basaris mag sekondari ma opong'o ne counties ma onge pi, kwa kapok Novemba 30 ochopo kokalo kuom ofis mar county!","15,000 oo deeq waxbarasho oo dhameystiran oo loogu talagalay degmooyinka qalalan ayaa la dalban karaa 30-ka Nofeembar iyada oo loo marayo xafiiska degmada!"
12,Education,"2,000 new mental health counselors deployed to secondary schools – book today!","Washauri wapya 2,000 wa afya ya akili waliotumwa katika shule za upili ""weka nafasi leo!""","Abasemia bebirengererio biobongo 2,000 batomirwe gochia chisukuru chiesekenderi, rigia ribaga rero!","Jochiw-parogo manyien 2,000 ma ne oor e skunde sekondar, ondikgi kawuono!","2,000 oo lataliye cusub oo caafimaadka dhimirka ah ayaa maanta loo adeegsaday dugsiyada sare."
13,Education,"2,014 permanent and pensionable posts for secondary school teachers.","Nafasi 2,014 za kudumu na za kustaafu kwa walimu wa shule za upili.","Amabaga ya abarimu 2,014 ase omoroberio o'pamanenti nechibesa chiobogotu atoirwe","2,014 ma nyaka chieng' kendo ma nyalo yudo pension ne jopuonj mag skul sekondar.","2,014 shaqooyin joogto ah iyo hawlgabka ah oo loogu talagalay macalimiinta dugsiga sare."
