PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Fact_Source,Source
1,Health,General,The public is informed about the Social Health Authority (SHA) registration for universal health coverage.,Umma unafahamishwa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,,h01,grounded_generated
2,Health,General,The public is informed about the Linda Mama programme providing free maternity care at public health facilities.,Umma unafahamishwa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h02,grounded_generated
3,Health,General,The public is informed about routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Umma unafahamishwa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h03,grounded_generated
4,Health,General,The public is informed about free tuberculosis (TB) diagnosis and treatment at public health facilities.,Umma unafahamishwa kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h04,grounded_generated
5,Health,General,The public is informed about distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Umma unafahamishwa kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h05,grounded_generated
6,Health,General,The public is informed about HPV vaccination for adolescent girls to prevent cervical cancer.,Umma unafahamishwa kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h06,grounded_generated
7,Health,General,The public is informed about community health promoters (CHPs) offering household health education and referrals.,Umma unafahamishwa kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h07,grounded_generated
8,Health,General,The public is informed about free HIV testing and counselling services at public health facilities.,Umma unafahamishwa kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h08,grounded_generated
9,Health,General,The public is informed about screening for non-communicable diseases such as diabetes and hypertension.,Umma unafahamishwa kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h09,grounded_generated
10,Health,General,The public is informed about mental health support services under the national mental health action plan.,Umma unafahamishwa kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h10,grounded_generated
11,Health,General,The public is informed about child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Umma unafahamishwa kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h11,grounded_generated
12,Health,General,The public is informed about family planning services available free of charge at public clinics.,Umma unafahamishwa kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h12,grounded_generated
13,Health,General,Residents are encouraged to learn more about the Social Health Authority (SHA) registration for universal health coverage.,Wakazi wanahamasishwa kujifunza zaidi kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,,h01,grounded_generated
14,Health,General,Residents are encouraged to learn more about the Linda Mama programme providing free maternity care at public health facilities.,Wakazi wanahamasishwa kujifunza zaidi kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h02,grounded_generated
15,Health,General,Residents are encouraged to learn more about routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Wakazi wanahamasishwa kujifunza zaidi kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h03,grounded_generated
16,Health,General,Residents are encouraged to learn more about free tuberculosis (TB) diagnosis and treatment at public health facilities.,Wakazi wanahamasishwa kujifunza zaidi kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h04,grounded_generated
17,Health,General,Residents are encouraged to learn more about distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Wakazi wanahamasishwa kujifunza zaidi kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h05,grounded_generated
18,Health,General,Residents are encouraged to learn more about HPV vaccination for adolescent girls to prevent cervical cancer.,Wakazi wanahamasishwa kujifunza zaidi kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h06,grounded_generated
19,Health,General,Residents are encouraged to learn more about community health promoters (CHPs) offering household health education and referrals.,Wakazi wanahamasishwa kujifunza zaidi kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h07,grounded_generated
20,Health,General,Residents are encouraged to learn more about free HIV testing and counselling services at public health facilities.,Wakazi wanahamasishwa kujifunza zaidi kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h08,grounded_generated
21,Health,General,Residents are encouraged to learn more about screening for non-communicable diseases such as diabetes and hypertension.,Wakazi wanahamasishwa kujifunza zaidi kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h09,grounded_generated
22,Health,General,Residents are encouraged to learn more about mental health support services under the national mental health action plan.,Wakazi wanahamasishwa kujifunza zaidi kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h10,grounded_generated
23,Health,General,Residents are encouraged to learn more about child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Wakazi wanahamasishwa kujifunza zaidi kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h11,grounded_generated
24,Health,General,Residents are encouraged to learn more about family planning services available free of charge at public clinics.,Wakazi wanahamasishwa kujifunza zaidi kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h12,grounded_generated
